Periode_Naam,Observed,Trend
2015 1e kwartaal,17.4817,15.9729
2015 2e kwartaal,15.3857,16.2606
2015 3e kwartaal,16.6176,16.5457
2015 4e kwartaal,15.3374,16.8272
2016 1e kwartaal,16.8444,17.3445
2016 2e kwartaal,15.9754,17.553
2016 3e kwartaal,17.3786,17.6314
2016 4e kwartaal,18.3302,17.6808
2017 1e kwartaal,18.8071,17.6036
2017 2e kwartaal,17.4381,17.5384
2017 3e kwartaal,16.8286,17.4691
2017 4e kwartaal,16.2603,17.4155
2018 1e kwartaal,18.6317,17.3687
2018 2e kwartaal,17.1881,17.4127
2018 3e kwartaal,17.6333,17.4668
2018 4e kwartaal,17.6444,17.5593
2019 1e kwartaal,17.0857,17.888
2019 2e kwartaal,17.7778,18.0918
2019 3e kwartaal,18.4262,18.2899
2019 4e kwartaal,19.0794,18.4666
2020 1e kwartaal,18.531,18.7317
2020 2e kwartaal,18.4468,18.8253
2020 3e kwartaal,19.6659,18.884
2020 4e kwartaal,20.2825,18.9256
2021 1e kwartaal,20.046,19.0442
2021 2e kwartaal,18.1738,19.1262
2021 3e kwartaal,18.5937,19.2443
2021 4e kwartaal,19.0159,19.4313
2022 1e kwartaal,20.8095,20.1026
2022 2e kwartaal,20.0421,20.4383
2022 3e kwartaal,20.6278,20.7447
2022 4e kwartaal,19.7206,21.0452
2023 1e kwartaal,21.4627,21.5685
2023 2e kwartaal,20.0452,21.7093
2023 3e kwartaal,22.2024,21.8208
2023 4e kwartaal,22.2706,21.9263
2024 1e kwartaal,22.2008,21.9273
2024 2e kwartaal,21.5612,21.9
2024 3e kwartaal,21.8722,21.8546
2024 4e kwartaal,22.9389,21.8019
2025 1e kwartaal,20.996,21.725
2025 2e kwartaal,21.5262,21.7021
2025 3e kwartaal,21.7817,21.6862
2025 4e kwartaal,22.6622,21.6766
