P10 Doorlooptijd,P25 Doorlooptijd,P75 Doorlooptijd,P90 Doorlooptijd,Avg Doorlooptijd,jaar
8.075,11.25,24.9,38.574999999999996,16.4,2015
9.059999999999999,12.76,22.68,35.54,16.919999999999998,2016
9.36,12.58,25.08,36.739999999999995,17.880000000000003,2017
10.26,13.459999999999999,25.160000000000004,35.279999999999994,17.619999999999997,2018
11.14,14.440000000000001,25.619999999999997,32.779999999999994,19.1,2019
10.58,14.559999999999999,27.060000000000002,36.82,20.259999999999998,2020
10.620000000000001,14.7,30.019999999999992,40.739999999999995,20.360000000000003,2021
12.1,16.22,32.279999999999994,44.46,21.52,2022
12.419999999999998,17.46,31.060000000000002,39.339999999999996,23.54,2023
12.52,17.6,33.58,40.89999999999999,24.52,2024
12.34,16.62,35.1,46.92,23.379999999999995,2025
