Observed,Trend,Jaar,Maand
1217.32,1278.46,2015,1
1265.38,1284.23,2015,2
1287.69,1289.97,2015,3
1300.69,1295.65,2015,4
1310.07,1301.29,2015,5
1316.44,1306.89,2015,6
1318.64,1312.45,2015,7
1318.75,1317.98,2015,8
1319.76,1323.5,2015,9
1343.1,1329,2015,10
1337.23,1334.45,2015,11
1316.21,1338.98,2015,12
1342.01,1347.95,2016,1
1357.38,1352.54,2016,2
1376.65,1357.21,2016,3
1358.97,1361.91,2016,4
1357.65,1366.62,2016,5
1368.7,1371.42,2016,6
1363.53,1376.59,2016,7
1374.76,1382.47,2016,8
1395.19,1389.16,2016,9
1405.43,1396.55,2016,10
1406.43,1404.58,2016,11
1369.36,1413.24,2016,12
1405.23,1432.42,2017,1
1430.08,1442.79,2017,2
1476.76,1453.57,2017,3
1499.13,1464.84,2017,4
1477.07,1476.81,2017,5
1467.72,1489.62,2017,6
1498.62,1503.31,2017,7
1496.76,1517.75,2017,8
1533.53,1532.67,2017,9
1547.25,1547.83,2017,10
1548.69,1563.09,2017,11
1548.42,1578.47,2017,12
1606.01,1610.12,2018,1
1650.74,1626.39,2018,2
1695.8,1642.79,2018,3
1698.48,1659.24,2018,4
1651.58,1675.63,2018,5
1681.18,1691.67,2018,6
1706.85,1707.32,2018,7
1722.02,1722.48,2018,8
1756.28,1737.01,2018,9
1799.04,1750.61,2018,10
1785.75,1763.19,2018,11
1763.47,1774.75,2018,12
1867.07,1795.64,2019,1
1853.76,1805.25,2019,2
1844.68,1813.74,2019,3
1830.84,1820.45,2019,4
1850.02,1825.07,2019,5
1843.37,1827.98,2019,6
1835,1829.86,2019,7
1812.84,1831.01,2019,8
1823.87,1831.44,2019,9
1823.65,1831.23,2019,10
1813.8,1830.77,2019,11
1798.22,1830.45,2019,12
1808,1832.23,2020,1
1800.99,1834.45,2020,2
1828.35,1837.04,2020,3
1838.89,1840.08,2020,4
1794.17,1844.37,2020,5
1800.79,1850.63,2020,6
1825.85,1858.85,2020,7
1826.75,1868.43,2020,8
1852.31,1878.86,2020,9
1879.88,1890.01,2020,10
1863.09,1901.91,2020,11
1871.79,1914.42,2020,12
1911.3,1942.5,2021,1
1965.64,1957.56,2021,2
1993.68,1972.68,2021,3
2032.32,1987.77,2021,4
1988.03,2002.74,2021,5
2011.84,2017.47,2021,6
2021.38,2031.98,2021,7
2044.38,2046.3,2021,8
2052.48,2060.31,2021,9
2091.38,2073.86,2021,10
2075.92,2086.91,2021,11
2089.32,2099.53,2021,12
2137.97,2123.86,2022,1
2158.65,2135.46,2022,2
2192.63,2146.35,2022,3
2170.2,2156.31,2022,4
2150.37,2165.14,2022,5
2176.77,2172.82,2022,6
2192.75,2179.38,2022,7
2197.29,2184.9,2022,8
2222.87,2189.52,2022,9
2237.5,2193.54,2022,10
2211.58,2197.28,2022,11
2188.78,2200.74,2022,12
2198.72,2206.62,2023,1
2224.39,2208.89,2023,2
2193.93,2210.74,2023,3
2210.81,2212.58,2023,4
2222.28,2215.47,2023,5
2244.65,2222.72,2023,6
2212.56,2235.51,2023,7
2191.28,2249.21,2023,8
2181.53,2261.58,2023,9
2191.08,2273.54,2023,10
2197.05,2285.65,2023,11
2203.91,2297.85,2023,12
2242.6,2322.41,2024,1
2311.43,2334.94,2024,2
2345.14,2347.88,2024,3
2412.38,2361.73,2024,4
2360.11,2376.23,2024,5
2373.82,2391.32,2024,6
2400.57,2407.07,2024,7
2411.6,2423.35,2024,8
2399.08,2439.92,2024,9
2425.86,2456.58,2024,10
2448.56,2473.27,2024,11
2493.62,2490.06,2024,12
2521.44,2524.81,2025,1
2554.55,2543.73,2025,2
2610.86,2562.76,2025,3
2625.23,2581.8,2025,4
2573.97,2600.86,2025,5
2579.61,2619.94,2025,6
2628.45,2639.04,2025,7
2654.98,2658.18,2025,8
2680.32,2677.35,2025,9
2698.36,2696.56,2025,10
2714.83,2715.81,2025,11
2693.23,2735.08,2025,12
