group1,group2,mean_rank_diff,z_statistic,p_value_raw,p_value_bonferroni,significant,interpretation,parametric_equivalent
Drenthe (PV),Flevoland (PV),-834.5094,-5.8578,4.6901e-09,8.0200e-07,True,Flevoland (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Groningen (PV),-580.8797,-4.0775,4.5529e-05,0.007785,True,Groningen (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Limburg (PV),-1241.5695,-8.7152,<1e-16,<1e-16,True,Limburg (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Matig stedelijk,-851.1243,-5.9744,2.3088e-09,3.9481e-07,True,Matig stedelijk significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Nederland,-1555.9251,-10.9218,<1e-16,<1e-16,True,Nederland significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Noord-Brabant (PV),-1386.5789,-9.733,<1e-16,<1e-16,True,Noord-Brabant (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Noord-Holland (PV),-2751.7928,-19.3161,<1e-16,<1e-16,True,Noord-Holland (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Sterk stedelijk,-1416.8556,-9.9456,<1e-16,<1e-16,True,Sterk stedelijk significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Utrecht (PV),-1968.619,-13.8187,<1e-16,<1e-16,True,Utrecht (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Zeeland (PV),-1013.7955,-7.1163,1.1087e-12,1.8958e-10,True,Zeeland (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Zeer sterk stedelijk,-2739.762,-19.2317,<1e-16,<1e-16,True,Zeer sterk stedelijk significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Drenthe (PV),Zuid-Holland (PV),-1890.8997,-13.2731,<1e-16,<1e-16,True,Zuid-Holland (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Flevoland (PV),Fryslân (PV),983.1484,6.9012,5.1572e-12,8.8188e-10,True,Flevoland (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Flevoland (PV),Nederland,-721.4158,-5.064,4.1065e-07,7.0221e-05,True,Nederland significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Flevoland (PV),Niet stedelijk,606.877,4.26,2.0447e-05,0.003496,True,Flevoland (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Flevoland (PV),Noord-Brabant (PV),-552.0695,-3.8752,1.0652e-04,0.018215,True,Noord-Brabant (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
Flevoland (PV),Noord-Holland (PV),-1917.2834,-13.4583,<1e-16,<1e-16,True,Noord-Holland (PV) significant hogere rangorde doorlooptijd,tukey_hsd (results/2_regional_anova_posthoc.csv)
