Regio_Naam,Bottleneck_2Jaar_Pct_Avg,Bottleneck_5Jaar_Pct_Avg,Vergunning_Fase_Pct_Avg,Bouw_Fase_Pct_Avg,Crisis_Regio,Rank
Simpelveld,66.33,50.66,66.36,33.64,1,1
Rheden,57.91,36.8,80.05,19.95,1,2
Voerendaal,56.63,31.02,80.73,19.27,1,3
Valkenburg aan de Geul,56.34,37.2,88.23,11.77,1,4
Heerlen,54.88,28.77,77.63,22.37,1,5
De Bilt,53.88,29.36,91.44,8.56,1,6
Gulpen-Wittem,51.39,31.45,71.82,28.18,1,7
Uitgeest,49.41,16.03,78.72,21.28,1,8
Schiermonnikoog,49.39,0.59,46.77,53.23,1,9
Ooststellingwerf,48.5,28.08,79.53,20.47,1,10
Voorschoten,48.08,17.46,57.92,42.08,1,11
Pekela,48.0,29.34,83.12,16.88,1,12
Waterland,47.01,17.46,89.25,10.75,1,13
Veendam,46.8,32.1,64.99,35.01,1,14
Roerdalen,45.58,26.07,85.62,14.38,1,15
Zevenaar,45.48,40.28,59.51,40.49,1,16
Geertruidenberg,44.64,31.31,75.16,24.84,1,17
IJsselstein,44.42,24.56,77.93,22.07,1,18
Mook en Middelaar,44.26,14.97,55.49,44.51,1,19
Leudal,42.34,22.03,63.5,36.5,1,20
Landsmeer,42.09,13.99,78.92,21.08,1,21
Sluis,41.66,17.57,85.75,14.25,1,22
Duiven,40.56,23.53,61.6,38.4,1,23
Alkmaar,39.76,7.77,95.44,4.56,1,24
Steenbergen,39.72,20.76,74.77,25.23,1,25
Rotterdam,39.52,7.46,77.58,22.42,1,26
Stadskanaal,39.46,23.74,69.24,30.76,1,27
Noordwijk,37.97,19.06,64.83,35.17,1,28
Beek (L.),37.95,23.59,72.53,27.47,1,29
Gennep,37.55,15.92,62.12,37.88,1,30
Zandvoort,37.45,5.03,92.29,7.71,1,31
Terschelling,36.92,13.97,45.89,54.11,1,32
Oldambt,36.91,26.38,64.33,35.67,1,33
Oostzaan,36.69,17.19,78.28,21.72,1,34
Kerkrade,36.62,15.94,62.19,37.81,1,35
Coevorden,35.78,11.33,63.02,36.98,1,36
Echt-Susteren,35.55,17.48,69.53,30.47,1,37
Hardenberg,35.41,23.75,51.64,48.36,1,38
Aalsmeer,35.15,16.49,62.09,37.91,1,39
Hulst,34.61,10.51,79.91,20.09,1,40
Borsele,34.37,24.62,59.26,40.74,1,41
Dordrecht,33.77,18.62,57.71,42.29,1,42
Heemstede,33.4,6.07,74.52,25.48,1,43
Cranendonck,33.19,16.33,61.78,38.22,1,44
Meerssen,32.94,5.28,56.1,43.9,1,45
Oudewater,32.8,1.02,36.64,63.36,1,46
Sittard-Geleen,32.75,12.69,68.81,31.19,1,47
Ameland,32.49,20.01,56.56,43.44,1,48
Delft,31.84,6.75,49.62,50.38,1,49
Midden-Drenthe,31.8,9.31,73.32,26.68,1,50
Elburg,31.61,25.5,55.07,44.93,1,51
Reusel-De Mierden,31.51,21.29,54.36,45.64,1,52
Roermond,31.47,15.59,71.25,28.75,1,53
Sliedrecht,31.08,14.83,62.54,37.46,1,54
Hellendoorn,31.07,14.43,75.52,24.48,1,55
Schouwen-Duiveland,31.02,5.72,55.12,44.88,1,56
Goes,30.93,5.04,66.01,33.99,1,57
Achtkarspelen,30.59,15.27,52.01,47.99,1,58
Bloemendaal,30.48,7.2,65.85,34.15,1,59
Grave,30.26,15.66,23.65,39.99,1,60
Wormerland,30.17,5.21,76.19,23.81,1,61
Lansingerland,30.02,7.68,46.95,53.05,1,62
Peel en Maas,29.91,10.6,63.43,36.57,1,63
Wassenaar,29.76,4.77,50.75,49.25,1,64
Purmerend,29.71,5.56,46.4,53.6,1,65
Diemen,29.68,0.0,32.0,68.0,1,66
's-Gravenhage (gemeente),29.61,1.86,67.24,32.76,1,67
Terneuzen,29.15,8.39,56.37,43.63,1,68
Súdwest-Fryslân,29.11,18.14,51.88,48.12,1,69
Bladel,29.04,7.19,49.65,50.35,1,70
Dinkelland,28.99,8.01,29.44,70.56,1,71
Vlissingen,28.84,6.62,64.9,35.1,1,72
Enkhuizen,28.83,12.12,55.02,44.98,1,73
De Wolden,28.83,11.17,51.57,48.43,1,74
Amsterdam,28.72,1.7,52.81,47.19,1,75
Brummen,28.65,19.99,60.4,39.6,1,76
Utrechtse Heuvelrug,28.57,5.0,72.16,27.84,1,77
Westvoorne,28.54,12.36,54.06,18.66,1,78
Maasgouw,28.54,10.66,64.28,35.72,1,79
Bergeijk,28.23,10.91,55.72,44.28,1,80
Losser,28.14,12.45,58.49,41.51,1,81
Westerveld,28.1,10.03,45.6,54.4,1,82
Helmond,27.84,13.98,54.25,45.75,1,83
Amstelveen,27.79,1.07,38.0,62.0,1,84
Stichtse Vecht,27.79,10.79,57.26,42.74,1,85
Winterswijk,27.73,16.87,64.31,35.69,1,86
Woensdrecht,27.73,3.39,49.63,50.37,1,87
Heerde,27.72,14.59,64.91,35.09,1,88
Geldrop-Mierlo,27.46,10.72,59.61,40.39,1,89
Rozendaal,27.22,0.0,32.57,50.85,1,90
Zaanstad,27.14,8.28,62.75,37.25,1,91
Utrecht (gemeente),26.97,4.8,57.94,42.06,1,92
Renkum,26.89,10.43,83.47,16.53,1,93
Alphen-Chaam,26.87,3.44,62.88,37.12,1,94
Goeree-Overflakkee,26.66,7.56,62.7,37.3,1,95
Ridderkerk,26.61,2.84,58.42,41.58,1,96
Harlingen,26.34,7.31,83.69,16.31,1,97
Westerwolde,26.04,13.22,41.96,30.77,1,98
Wijdemeren,26.04,4.5,70.35,29.65,1,99
Brunssum,26.03,4.4,99.85,0.15,1,100
Bergen (NH.),25.82,2.51,57.71,42.29,1,101
Waalwijk,25.79,5.45,51.75,48.25,1,102
Hillegom,25.74,9.52,85.45,14.55,1,103
Roosendaal,25.6,13.42,60.5,39.5,1,104
Horst aan de Maas,25.59,14.01,55.78,44.22,1,105
Noord-Beveland,25.53,3.25,56.89,43.11,1,106
Berg en Dal,25.51,13.56,66.55,24.36,1,107
Eijsden-Margraten,25.35,9.56,41.87,58.13,1,108
Leeuwarden,25.31,3.55,42.52,57.48,1,109
Den Helder,25.28,4.38,65.61,34.39,1,110
Bergen (L.),25.23,11.5,56.08,43.92,1,111
Bellingwedde,24.94,23.42,24.94,2.33,1,112
Wijk bij Duurstede,24.91,0.66,52.5,47.5,1,113
Alphen aan den Rijn,24.86,0.75,55.87,44.13,1,114
Venlo,24.74,13.67,66.19,33.81,1,115
Groningen (gemeente),24.68,2.17,64.27,35.73,1,116
Ouder-Amstel,24.66,11.84,62.62,37.38,1,117
Staphorst,24.63,7.83,60.49,39.51,1,118
Almelo,24.46,4.93,64.55,35.45,1,119
Leidschendam-Voorburg,24.38,0.16,44.95,55.05,1,120
Epe,24.36,1.96,76.74,23.26,1,121
Montferland,24.26,8.54,51.02,48.98,1,122
Schagen,24.25,4.53,63.34,36.66,1,123
Heiloo,24.24,6.92,52.99,47.01,1,124
Laren (NH.),24.13,7.06,50.5,49.5,1,125
Velsen,24.01,2.13,43.17,56.83,1,126
Eersel,23.95,9.03,52.25,47.75,1,127
Leiden,23.9,1.18,42.15,57.85,1,128
De Fryske Marren,23.78,7.08,55.54,40.18,1,129
Mill en Sint Hubert,23.77,7.8,26.4,37.24,1,130
Delfzijl,23.76,14.43,37.12,17.42,1,131
Schiedam,23.7,1.85,61.94,38.06,1,132
Koggenland,23.57,11.87,74.07,25.93,1,133
Hof van Twente,23.57,8.26,48.42,51.58,1,134
Eindhoven,23.41,6.9,53.97,46.03,1,135
Rhenen,23.35,5.95,53.22,46.78,1,136
Gemert-Bakel,23.29,13.04,45.91,54.09,1,137
Dronten,23.24,6.78,49.98,50.02,1,138
De Ronde Venen,23.21,9.03,45.03,54.97,1,139
Hoogeveen,23.12,6.26,46.18,53.82,1,140
Oegstgeest,23.09,8.5,50.79,49.21,1,141
Tholen,23.03,8.88,56.45,43.55,1,142
Huizen,23.03,0.4,74.81,25.19,1,143
Zutphen,23.01,14.23,33.1,66.9,1,144
Krimpenerwaard,22.98,4.85,67.99,32.01,1,145
Oost Gelre,22.89,10.88,65.58,34.42,1,146
Bronckhorst,22.82,6.37,64.97,35.03,1,147
West Maas en Waal,22.82,10.8,57.62,42.38,1,148
Landgraaf,22.75,3.95,49.32,50.68,1,149
Heeze-Leende,22.69,9.18,59.1,40.9,1,150
Halderberge,22.67,5.77,67.4,32.6,1,151
Zundert,22.61,3.33,71.65,28.35,1,152
Stein (L.),22.45,8.07,86.29,13.71,1,153
Heemskerk,22.41,7.81,46.64,53.36,1,154
Westervoort,22.34,19.05,44.64,55.36,1,155
Beesel,22.34,1.24,51.37,48.63,1,156
Hardinxveld-Giessendam,22.3,1.76,51.59,48.41,1,157
Menterwolde,22.26,13.82,19.65,7.63,1,158
Sint-Michielsgestel,22.26,3.96,47.95,52.05,1,159
Bunnik,22.13,7.44,50.53,49.47,1,160
Soest,22.11,2.2,55.93,44.07,1,161
Veere,21.98,6.1,68.49,31.51,1,162
Lelystad,21.97,12.88,35.73,64.27,1,163
Berkelland,21.97,8.64,51.86,48.14,1,164
Oss,21.92,5.21,49.44,50.56,1,165
Buren,21.91,8.6,53.94,46.06,1,166
Barendrecht,21.84,7.7,73.75,26.25,1,167
Nuth,21.8,17.24,27.86,8.5,1,168
