Jaar,Kwartaal,Periode_Naam,Observed,Trend,Seasonal,Residual
2015,1,2015 1e kwartaal,17.4817,15.9729,1.4769,0.0319
2015,2,2015 2e kwartaal,15.3857,16.2606,-0.81,-0.0648
2015,3,2015 3e kwartaal,16.6176,16.5457,0.0475,0.0244
2015,4,2015 4e kwartaal,15.3374,16.8272,-0.4988,-0.9909
2016,0,2016,16.8063,17.1085,1.0527,-1.3548
2016,1,2016 1e kwartaal,16.8444,17.3445,-0.6133,0.1133
2016,2,2016 2e kwartaal,15.9754,17.553,0.0722,-1.6497
2016,3,2016 3e kwartaal,17.3786,17.6314,-0.2887,0.0358
2016,4,2016 4e kwartaal,18.3302,17.6808,0.6367,0.0126
2017,0,2017,17.3183,17.6561,-0.4473,0.1094
2017,1,2017 1e kwartaal,18.8071,17.6036,0.1054,1.0982
2017,2,2017 2e kwartaal,17.4381,17.5384,-0.0643,-0.0361
2017,3,2017 3e kwartaal,16.8286,17.4691,0.2298,-0.8703
2017,4,2017 4e kwartaal,16.2603,17.4155,-0.3247,-0.8305
2018,0,2018,17.5262,17.3839,0.1684,-0.0262
2018,1,2018 1e kwartaal,18.6317,17.3687,0.1719,1.0911
2018,2,2018 2e kwartaal,17.1881,17.4127,-0.1749,-0.0498
2018,3,2018 3e kwartaal,17.6333,17.4668,-0.2683,0.4348
2018,4,2018 4e kwartaal,17.6444,17.5593,0.1476,-0.0625
2019,0,2019,18.0365,17.7079,0.3612,-0.0326
2019,1,2019 1e kwartaal,17.0857,17.888,-0.2153,-0.587
2019,2,2019 2e kwartaal,17.7778,18.0918,-0.2949,-0.0191
2019,3,2019 3e kwartaal,18.4262,18.2899,0.1135,0.0228
2019,4,2019 4e kwartaal,19.0794,18.4666,0.5689,0.0438
2020,0,2020,19.123,18.6114,-0.4282,0.9399
2020,1,2020 1e kwartaal,18.531,18.7317,-0.2396,0.0388
2020,2,2020 2e kwartaal,18.4468,18.8253,0.147,-0.5255
2020,3,2020 3e kwartaal,19.6659,18.884,0.7461,0.0357
2020,4,2020 4e kwartaal,20.2825,18.9256,-0.8249,2.1818
2021,0,2021,18.7635,18.9827,-0.1806,-0.0386
2021,1,2021 1e kwartaal,20.046,19.0442,0.1587,0.8431
2021,2,2021 2e kwartaal,18.1738,19.1262,0.7238,-1.6762
2021,3,2021 3e kwartaal,18.5937,19.2443,-0.6155,-0.0351
2021,4,2021 4e kwartaal,19.0159,19.4313,-0.2069,-0.2086
2022,0,2022,19.8405,19.7667,0.0871,-0.0133
2022,1,2022 1e kwartaal,20.8095,20.1026,0.6058,0.1011
2022,2,2022 2e kwartaal,20.0421,20.4383,-0.4114,0.0152
2022,3,2022 3e kwartaal,20.6278,20.7447,-0.1244,0.0075
2022,4,2022 4e kwartaal,19.7206,21.0452,-0.0752,-1.2493
2023,0,2023,21.7476,21.3473,0.4586,-0.0583
2023,1,2023 1e kwartaal,21.4627,21.5685,-0.2391,0.1332
2023,2,2023 2e kwartaal,20.0452,21.7093,0.0608,-1.7248
2023,3,2023 3e kwartaal,22.2024,21.8208,-0.2662,0.6478
2023,4,2023 4e kwartaal,22.2706,21.9263,0.2502,0.0942
2024,0,2024,21.8155,21.9541,-0.121,-0.0175
2024,1,2024 1e kwartaal ,22.2008,21.9273,0.3631,-0.0896
2024,2,2024 2e kwartaal,21.5612,21.9,-0.4598,0.1211
2024,3,2024 3e kwartaal,21.8722,21.8546,0.0378,-0.0201
2024,4,2024 4e kwartaal,22.9389,21.8019,-0.0065,1.1436
2025,0,2025,21.4089,21.7536,0.6511,-0.9958
2025,1,2025 1e kwartaal,20.996,21.725,-0.6535,-0.0754
2025,2,2025 2e kwartaal ,21.5262,21.7021,-0.172,-0.0039
2025,3,2025 3e kwartaal,21.7817,21.6862,0.1065,-0.0109
2025,4,2025 4e kwartaal,22.6622,21.6766,0.9478,0.0378
