Jaar,Maand,Periode_Naam,Observed,Trend,Seasonal,Residual
2015,0,2015,1316.49,1272.66,40.81,3.02
2015,1,2015 januari,1217.32,1278.46,-60.4,-0.73
2015,2,2015 februari,1265.38,1284.23,-11.86,-6.99
2015,3,2015 maart,1287.69,1289.97,1.31,-3.59
2015,4,2015 april,1300.69,1295.65,11.52,-6.48
2015,5,2015 mei,1310.07,1301.29,3.25,5.53
2015,6,2015 juni,1316.44,1306.89,5.35,4.2
2015,7,2015 juli,1318.64,1312.45,3.63,2.55
2015,8,2015 augustus,1318.75,1317.98,-5.05,5.81
2015,9,2015 september,1319.76,1323.5,-5.4,1.66
2015,10,2015 oktober,1343.1,1329.0,10.02,4.08
2015,11,2015 november,1337.23,1334.45,6.85,-4.07
2015,12,2015 december,1316.21,1338.98,27.77,-50.54
2016,0,2016,1369.36,1343.44,-47.86,73.78
2016,1,2016 januari,1342.01,1347.95,-13.68,7.74
2016,2,2016 februari,1357.38,1352.54,-4.14,8.99
2016,3,2016 maart,1376.65,1357.21,6.56,12.88
2016,4,2016 april,1358.97,1361.91,11.73,-14.66
2016,5,2016 mei,1357.65,1366.62,17.98,-26.95
2016,6,2016 juni,1368.7,1371.42,4.96,-7.68
2016,7,2016 juli,1363.53,1376.59,-9.17,-3.89
2016,8,2016 augustus,1374.76,1382.47,-4.56,-3.15
2016,9,2016 september,1395.19,1389.16,5.97,0.06
2016,10,2016 oktober,1405.43,1396.55,4.79,4.1
2016,11,2016 november,1406.43,1404.58,15.01,-13.16
2016,12,2016 december,1369.36,1413.24,-35.89,-8.0
2017,0,2017,1548.42,1422.54,-15.02,140.89
2017,1,2017 januari,1405.23,1432.42,-9.03,-18.16
2017,2,2017 februari,1430.08,1442.79,1.76,-14.46
2017,3,2017 maart,1476.76,1453.57,20.17,3.02
2017,4,2017 april,1499.13,1464.84,29.71,4.58
2017,5,2017 mei,1477.07,1476.81,5.3,-5.04
2017,6,2017 juni,1467.72,1489.62,-12.22,-9.69
2017,7,2017 juli,1498.62,1503.31,-3.24,-1.45
2017,8,2017 augustus,1496.76,1517.75,2.92,-23.91
2017,9,2017 september,1533.53,1532.67,2.84,-1.98
2017,10,2017 oktober,1547.25,1547.83,1.67,-2.25
2017,11,2017 november,1548.69,1563.09,-24.58,10.17
2017,12,2017 december,1548.42,1578.47,-16.91,-13.15
2018,0,2018,1763.47,1594.13,-15.35,184.69
2018,1,2018 januari,1606.01,1610.12,-4.4,0.3
2018,2,2018 februari,1650.74,1626.39,30.08,-5.73
2018,3,2018 maart,1695.8,1642.79,42.36,10.65
2018,4,2018 april,1698.48,1659.24,4.11,35.13
2018,5,2018 mei,1651.58,1675.63,-13.86,-10.19
2018,6,2018 juni,1681.18,1691.67,-1.03,-9.46
